"last_name, first_name","player_id","year","pa","home_run","walk","batting_avg","slg_percent","on_base_percent","xba","xslg","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","flareburner_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","whiff_percent","hp_to_1b",""
"Hunter, Torii","116338","2015","567","22","35",".240",".409",".293",".234",".376",".289","88.5","10.8",28.5,5,5.2,21.6,2.9,34.9,72.6,34.1,63.8,82.5,23.1,"4.66",
"Ortiz, David","120074","2015","614","37","77",".273",".553",".360",".301",".616",".388","93","15.7",34.8,13.1,8.4,24.9,1.6,49.1,70.6,26.5,65.1,82.7,23.2,"4.85",
"Rodriguez, Alex","121347","2015","620","33","84",".250",".486",".356",".247",".495",".356","91.4","12",31.4,10.9,8.1,20.3,1,43.9,67.3,24.3,54.4,73.8,32,"4.8",
"Ramirez, Aramis","133380","2015","516","17","31",".246",".423",".297",".240",".405",".293","87.4","15.8",33.5,5.6,6.6,23.3,3.4,34.5,73.5,34.4,71.2,87.8,17.9,"4.9",
"Beltre, Adrian","134181","2015","619","18","41",".287",".453",".334",".295",".482",".346","89.5","12.6",35.7,5.5,7.8,26.3,2.2,40.4,62.1,35.4,74.5,88.8,16.8,"4.58",
"Beltran, Carlos","136860","2015","531","19","45",".276",".471",".337",".274",".448",".340","90.6","15.6",34.1,5.8,7.5,27.3,1.8,41.9,65.4,28.9,68.5,89.1,18.1,"4.55",
"Rollins, Jimmy","276519","2015","563","13","44",".224",".358",".285",".233",".340",".296","85.7","16.2",32.1,2.5,4.2,23.8,3.7,23.1,66.2,24.8,64.4,87.8,18.1,"4.38",
"Pujols, Albert","405395","2015","661","40","50",".244",".480",".307",".268",".481",".329","90.7","14.2",29.5,7.7,5.3,22.7,1.5,38.3,63,29.3,70.6,90.4,16.3,"4.99",
"Byrd, Marlon","407781","2015","544","23","29",".247",".453",".290",".238",".435",".285","86.3","12.1",33.9,8.5,5.5,21.9,4.6,31.1,81.4,41.9,51.5,79.2,31.2,"4.37",
"Mauer, Joe","408045","2015","666","10","67",".265",".380",".338",".275",".426",".351","89.5","4.4",33.3,3.7,8,28.6,3.7,39.9,57.5,25.5,69.8,88.9,16.8,"4.53",
"Cabrera, Miguel","408234","2015","511","18","77",".338",".534",".440",".323",".595",".431","93.8","12.2",35.8,10.6,8.9,28.9,1.7,53.3,68.1,27.3,64.5,83.4,23.1,"5.04",
"Gonzalez, Adrian","408236","2015","642","28","62",".275",".480",".350",".281",".500",".358","88.8","14.2",40.7,8.4,9.4,27.8,1.9,36.8,73.6,32.3,66.7,85.1,21.6,"4.92",
"Phillips, Brandon","408252","2015","623","12","27",".294",".395",".328",".290",".390",".325","86.2","10.7",32.6,2.3,3.2,29.8,2.9,26,74,35.4,64.4,89,18.9,"4.69",
"Reyes, Jose","408314","2015","519","7","26",".274",".378",".310",".245",".303",".286","84.6","13.3",28.1,0.2,2.3,22.5,3.2,18.6,67.1,35.6,74.3,88,16.1,"4.25",
"Peralta, Jhonny","425509","2015","640","17","50",".275",".411",".334",".273",".426",".336","88.2","13.4",35.2,4.4,5.7,30.2,2.5,34,74.3,29,59.9,84.5,23.1,"4.75",
"Choo, Shin-Soo","425783","2015","653","22","76",".276",".463",".375",".254",".444",".360","90.9","7.7",33.5,8.4,7.2,25.1,2.2,44.1,63,22.9,59.2,77.7,26.7,"4.43",
"Molina, Yadier","425877","2015","530","4","32",".270",".350",".310",".238",".329",".283","86.4","10.4",32.6,2.3,2.5,24.6,3.4,25.3,74.2,34,77,85.2,16.9,"4.91",
"Fielder, Prince","425902","2015","693","23","64",".305",".463",".378",".277",".455",".356","90.9","9.9",29.4,6.4,5.3,25.3,2.3,44.5,70.4,32.4,63.7,89.5,20.7,"4.78",
"Cano, Robinson","429664","2015","674","21","43",".287",".446",".334",".295",".476",".344","91","5.5",32.4,7.3,5.6,28.4,3.5,45.7,71.5,31.7,65.5,88.9,19.1,"4.73",
"Encarnacion, Edwin","429665","2015","624","39","77",".277",".557",".372",".265",".519",".366","90.1","16.5",31.1,10,7.3,20,3.2,43.9,64.4,23.2,63.2,82.1,23.1,"4.84",
"Howard, Ryan","429667","2015","502","23","27",".229",".443",".277",".268",".520",".315","91.3","14.9",42.5,11.7,8.7,26.5,1.5,45.2,76.2,37.2,48.8,79.8,31.9,"4.84",
"Bautista, Jose","430832","2015","666","40","110",".250",".536",".377",".260",".514",".388","92","16.9",29.9,12.6,5.2,19.1,1.6,45.6,61.6,19.6,66.2,84.4,20.4,"4.77",
"Jones, Adam","430945","2015","581","27","24",".269",".474",".308",".265",".478",".305","88.2","11.3",27.5,8.9,5.4,23.3,2.7,34.5,81.3,44.1,63.1,83.2,24.1,"4.43",
"Aybar, Erick","430947","2015","638","3","25",".270",".338",".301",".275",".352",".309","85.7","6.6",31.3,0.9,3.2,27.1,3.5,19.4,68.9,38.8,75.3,89.8,13,"4.26",
"Martin, Russell","431145","2015","507","23","53",".240",".458",".329",".235",".415",".330","89.2","9.8",26.8,8.2,5.3,20.9,2.6,40,59.3,20.8,54.3,83.3,23.5,"4.63",
"Granderson, Curtis","434158","2015","682","26","91",".259",".457",".364",".258",".461",".365","89.4","18.4",40.9,8.3,7.6,28.2,2.8,40,58.4,19.3,62.1,85.6,20.8,"4.29",
"Pagan, Angel","434636","2015","551","3","32",".262",".332",".303",".252",".331",".296","86.3","11.6",32.9,0.7,4.7,26.6,1.2,22.6,60.5,23.6,77.3,91.8,12.4,"4.16",
"Morales, Kendrys","434778","2015","639","22","58",".290",".485",".362",".285",".504",".361","91.9","10.2",34.3,8.9,7.2,26.4,1.1,47.4,71.1,30.1,60.1,86.6,22.9,"4.87",
"Kinsler, Ian","435079","2015","675","11","43",".296",".428",".342",".274",".383",".323","86.1","17.7",36.6,2.7,4,29.1,3.1,26.6,67.1,25.9,72.6,93.1,12.3,"4.51",
"McCann, Brian","435263","2015","535","26","52",".232",".437",".320",".221",".381",".313","89.5","17.5",29.1,5.3,6.9,21.9,2.9,36.5,56.6,30.4,69.9,89.8,17.2,"4.99",
"Walker, Neil","435522","2015","603","16","44",".269",".427",".328",".249",".412",".312","88.9","14",33.3,4.8,7.7,25.6,1.8,37.6,72,30.8,66.8,86.9,19.5,"4.52",
"Desmond, Ian","435622","2015","641","19","45",".233",".384",".290",".218",".362",".278","90.8","6.4",25.9,6.9,3.7,22.2,3.4,41.1,67.9,33,50.7,80.6,28.8,"4.38",
"Cruz Jr., Nelson","443558","2015","655","44","59",".302",".566",".369",".286",".546",".357","92.7","9.3",35.4,14.1,7.7,24.4,3,47.8,69.6,30.8,56.7,76.3,30.8,"4.56",
"Trumbo, Mark","444432","2015","545","22","36",".262",".449",".310",".252",".442",".302","92","13.3",31,9.8,6.1,22.3,1.6,43,69.5,36.1,53.6,78.5,30.9,"4.61",
"Peralta, David","444482","2015","517","17","44",".312",".522",".371",".281",".457",".350","91.6","6.7",35.4,8,6.1,26.8,1.4,43.4,67.3,31.2,55.2,86,24.4,"4.4",
"Escobar, Alcides","444876","2015","662","3","26",".257",".320",".293",".262",".329",".300","84.6","9.6",30.4,0.9,1.6,26.6,3.1,16.5,68.1,35.4,66.9,87.4,18,"4.4",
"Prado, Martin","445988","2015","551","9","37",".288",".394",".338",".274",".373",".330","89","9.1",33.8,2.3,3.9,31.1,1.4,33.6,52.1,25.4,75.1,93.6,11.5,"4.56",
"Duda, Lucas","446263","2015","554","27","66",".244",".486",".352",".254",".504",".363","91.7","19.8",40.2,11.6,6.8,24.4,0.9,42.3,62.8,27.3,59.2,85,24.9,"4.75",
"Longoria, Evan","446334","2015","670","21","51",".270",".435",".328",".260",".466",".322","89.6","15.4",33.5,8.5,7.9,23.1,2.5,39.7,65,29.4,64.1,82.3,23.7,"4.47",
