"last_name, first_name","player_id","year","batting_avg","slg_percent","on_base_percent","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","solidcontact_percent","flareburner_percent","hard_hit_percent","z_swing_percent","oz_swing_percent","oz_contact_percent","iz_contact_percent","hp_to_1b",""
"Hunter, Torii","116338","2015",".240",".409",".293","88.5","10.8",28.5,"21",5,5.2,21.6,34.9,72.6,34.1,63.8,82.5,"4.66",
"Ortiz, David","120074","2015",".273",".553",".360","93","15.7",34.8,"58",13.1,8.4,24.9,49.1,70.6,26.5,65.1,82.7,"4.85",
"Rodriguez, Alex","121347","2015",".250",".486",".356","91.4","12",31.4,"42",10.9,8.1,20.3,43.9,67.3,24.3,54.4,73.8,"4.8",
"Ramirez, Aramis","133380","2015",".246",".423",".297","87.4","15.8",33.5,"23",5.6,6.6,23.3,34.5,73.5,34.4,71.2,87.8,"4.9",
"Beltre, Adrian","134181","2015",".287",".453",".334","89.5","12.6",35.7,"28",5.5,7.8,26.3,40.4,62.1,35.4,74.5,88.8,"4.58",
"Beltran, Carlos","136860","2015",".276",".471",".337","90.6","15.6",34.1,"23",5.8,7.5,27.3,41.9,65.4,28.9,68.5,89.1,"4.55",
"Werth, Jayson","150029","2015",".221",".384",".302","90","15.3",35.2,"20",7.9,8.7,22.9,40.7,51.3,23.4,59.3,82.7,"4.66",
"Cuddyer, Michael","150212","2015",".259",".391",".309","87.5","7.8",31.2,"13",4.5,6.2,24,30.8,67.1,35.1,57,85.2,"4.45",
"Pierzynski, A.J.","150229","2015",".300",".430",".339","85.4","10.5",34.9,"13",3.5,4,29.5,25.7,76.3,39.1,78.7,89.1,"4.81",
"Rollins, Jimmy","276519","2015",".224",".358",".285","85.7","16.2",32.1,"11",2.5,4.2,23.8,23.1,66.2,24.8,64.4,87.8,"4.38",
"Uribe, Juan","346874","2015",".253",".417",".320","88.8","10.7",28.5,"16",5.7,3.9,24.6,35.6,77.6,29.9,57.4,84.4,"4.57",
"Suzuki, Ichiro","400085","2015",".229",".279",".282","83.2","3.3",27.2,"2",0.6,0.8,21.1,13.8,61.8,25.1,80.5,92.1,"4.06",
"Martinez, Victor","400121","2015",".245",".366",".301","87.7","15",33.7,"16",4.1,8.6,25.3,33.2,66.3,31.4,81.1,89.2,"4.97",
"Utley, Chase","400284","2015",".212",".343",".286","88.6","13.3",32.5,"9",2.8,5,26.8,34.4,58.6,24.9,71,91.8,"4.36",
"Pujols, Albert","405395","2015",".244",".480",".307","90.7","14.2",29.5,"41",7.7,5.3,22.7,38.3,63,29.3,70.6,90.4,"4.99",
"Byrd, Marlon","407781","2015",".247",".453",".290","86.3","12.1",33.9,"31",8.5,5.5,21.9,31.1,81.4,41.9,51.5,79.2,"4.37",
"Teixeira, Mark","407893","2015",".255",".548",".357","89.6","15.7",31.1,"29",9.3,9.6,22.1,41.3,67,22.4,62.2,83.7,"4.8",
"Mauer, Joe","408045","2015",".265",".380",".338","89.5","4.4",33.3,"18",3.7,8,28.6,39.9,57.5,25.5,69.8,88.9,"4.53",
"Cabrera, Miguel","408234","2015",".338",".534",".440","93.8","12.2",35.8,"37",10.6,8.9,28.9,53.3,68.1,27.3,64.5,83.4,"5.04",
"Gonzalez, Adrian","408236","2015",".275",".480",".350","88.8","14.2",40.7,"39",8.4,9.4,27.8,36.8,73.6,32.3,66.7,85.1,"4.92",
"Phillips, Brandon","408252","2015",".294",".395",".328","86.2","10.7",32.6,"12",2.3,3.2,29.8,26,74,35.4,64.4,89,"4.69",
"Infante, Omar","408299","2015",".220",".318",".234","84.2","14.2",29.7,"3",0.8,2.4,23.3,20.4,60.6,34.2,60.6,89.5,"4.28",
"Reyes, Jose","408314","2015",".274",".378",".310","84.6","13.3",28.1,"1",0.2,2.3,22.5,18.6,67.1,35.6,74.3,88,"4.25",
"Peralta, Jhonny","425509","2015",".275",".411",".334","88.2","13.4",35.2,"21",4.4,5.7,30.2,34,74.3,29,59.9,84.5,"4.75",
"LaRoche, Adam","425560","2015",".207",".340",".293","89.6","13.2",31.5,"24",8.1,5.4,23.5,35.9,62.7,26.2,54.1,82.6,"4.86",
"Rios, Alex","425567","2015",".255",".353",".287","88.3","15.2",33,"8",2.5,4.9,28.7,31.8,65.5,28.6,62.2,90.3,"4.54",
"Loney, James","425766","2015",".280",".357",".322","85.5","12.1",34.8,"4",1.2,1.2,31.8,21.5,71.4,29,76.9,91.9,"4.94",
"Choo, Shin-Soo","425783","2015",".276",".463",".375","90.9","7.7",33.5,"35",8.4,7.2,25.1,44.1,63,22.9,59.2,77.7,"4.43",
"Rivera, Rene","425784","2015",".178",".275",".213","85.9","16.7",29.2,"14",6.4,6.8,16,28.3,74.6,38.7,51.9,75.9,"4.95",
"Francoeur, Jeff","425796","2015",".258",".433",".286","88","14.2",35.7,"12",4.8,2.8,28.2,33.3,71.4,43.6,64.8,81.8,"4.59",
"Molina, Yadier","425877","2015",".270",".350",".310","86.4","10.4",32.6,"10",2.3,2.5,24.6,25.3,74.2,34,77,85.2,"4.91",
"Fielder, Prince","425902","2015",".305",".463",".378","90.9","9.9",29.4,"34",6.4,5.3,25.3,44.5,70.4,32.4,63.7,89.5,"4.78",
"Cano, Robinson","429664","2015",".287",".446",".334","91","5.5",32.4,"38",7.3,5.6,28.4,45.7,71.5,31.7,65.5,88.9,"4.73",
"Encarnacion, Edwin","429665","2015",".277",".557",".372","90.1","16.5",31.1,"44",10,7.3,20,43.9,64.4,23.2,63.2,82.1,"4.84",
"Hardy, J.J.","429666","2015",".219",".311",".253","87.2","9.6",26.4,"5",1.5,3.3,23.4,30.7,51.6,27.1,67.5,88.9,"4.67",
"Howard, Ryan","429667","2015",".229",".443",".277","91.3","14.9",42.5,"39",11.7,8.7,26.5,45.2,76.2,37.2,48.8,79.8,"4.84",
"DeJesus, David","430203","2015",".233",".330",".297","86.8","12.5",31.5,"5",2.1,3.8,29.4,27.3,65.3,26.5,70.7,93,"4.54",
"Johnson, Kelly","430637","2015",".265",".435",".314","87","12.6",33.9,"19",8.3,3,24.3,33.9,64.5,31.4,56.8,85.8,"4.46",
"Bautista, Jose","430832","2015",".250",".536",".377","92","16.9",29.9,"56",12.6,5.2,19.1,45.6,61.6,19.6,66.2,84.4,"4.77",
"Pena, Brayan","430910","2015",".273",".324",".334","85.6","8",24.8,"1",0.3,1.3,24.2,17.2,65.3,23.6,79.5,92.8,"4.61",
"Jones, Adam","430945","2015",".269",".474",".308","88.2","11.3",27.5,"40",8.9,5.4,23.3,34.5,81.3,44.1,63.1,83.2,"4.43",
"Aybar, Erick","430947","2015",".270",".338",".301","85.7","6.6",31.3,"5",0.9,3.2,27.1,19.4,68.9,38.8,75.3,89.8,"4.26",
"Hill, Aaron","431094","2015",".230",".345",".295","88.3","12.3",36.3,"6",2.2,6.4,24.3,29.6,63.1,24,64.3,90.2,"4.38",
"Martin, Russell","431145","2015",".240",".458",".329","89.2","9.8",26.8,"28",8.2,5.3,20.9,40,59.3,20.8,54.3,83.3,"4.63",
"Granderson, Curtis","434158","2015",".259",".457",".364","89.4","18.4",40.9,"36",8.3,7.6,28.2,40,58.4,19.3,62.1,85.6,"4.29",
"Ruiz, Carlos","434563","2015",".211",".285",".290","84.9","9.8",31,"4",1.6,3.7,23.3,18,58.1,21.2,69.2,92.5,"4.75",
"Pagan, Angel","434636","2015",".262",".332",".303","86.3","11.6",32.9,"3",0.7,4.7,26.6,22.6,60.5,23.6,77.3,91.8,"4.16",
"Davis, Rajai","434658","2015",".258",".440",".306","86.7","12.4",30.9,"8",3,4.5,23.4,28.3,67.3,29.7,61.7,85.4,"4.12",
"Ramirez, Hanley","434670","2015",".249",".426",".291","90.1","6.6",28.4,"25",7.5,5.4,20.1,41.6,70.5,31.5,68.3,86.3,"4.62",
"Morales, Kendrys","434778","2015",".290",".485",".362","91.9","10.2",34.3,"42",8.9,7.2,26.4,47.4,71.1,30.1,60.1,86.6,"4.87",
"Kendrick III, Howie","435062","2015",".295",".409",".336","90.3","1.2",31.3,"15",3.9,4.2,29.9,41.4,68.9,32.4,65.9,86.4,"4.52",
"Napoli, Mike","435063","2015",".224",".410",".324","88.5","15.6",29,"24",8.3,7.6,16.2,38.3,62.1,20.3,56.3,79.3,"4.84",
"Kinsler, Ian","435079","2015",".296",".428",".342","86.1","17.7",36.6,"15",2.7,4,29.1,26.6,67.1,25.9,72.6,93.1,"4.51",
"McCann, Brian","435263","2015",".232",".437",".320","89.5","17.5",29.1,"20",5.3,6.9,21.9,36.5,56.6,30.4,69.9,89.8,"4.99",
"Walker, Neil","435522","2015",".269",".427",".328","88.9","14",33.3,"21",4.8,7.7,25.6,37.6,72,30.8,66.8,86.9,"4.52",
"Suzuki, Kurt","435559","2015",".240",".314",".296","87.7","13.7",31,"4",1,4.2,26.6,29.9,63.1,25.5,71,90.4,"4.72",
"Desmond, Ian","435622","2015",".233",".384",".290","90.8","6.4",25.9,"28",6.9,3.7,22.2,41.1,67.9,33,50.7,80.6,"4.38",
"Cruz Jr., Nelson","443558","2015",".302",".566",".369","92.7","9.3",35.4,"60",14.1,7.7,24.4,47.8,69.6,30.8,56.7,76.3,"4.56",
"Trumbo, Mark","444432","2015",".262",".449",".310","92","13.3",31,"37",9.8,6.1,22.3,43,69.5,36.1,53.6,78.5,"4.61",
"Peralta, David","444482","2015",".312",".522",".371","91.6","6.7",35.4,"29",8,6.1,26.8,43.4,67.3,31.2,55.2,86,"4.4",
"Ethier, Andre","444843","2015",".294",".486",".366","86.3","11",37.5,"19",5.9,6.5,27.9,32.5,68.6,29.9,61.2,89.6,"4.39",
"Escobar, Alcides","444876","2015",".257",".320",".293","84.6","9.6",30.4,"5",0.9,1.6,26.6,16.5,68.1,35.4,66.9,87.4,"4.4",
"Prado, Martin","445988","2015",".288",".394",".338","89","9.1",33.8,"10",2.3,3.9,31.1,33.6,52.1,25.4,75.1,93.6,"4.56",
"Duda, Lucas","446263","2015",".244",".486",".352","91.7","19.8",40.2,"39",11.6,6.8,24.4,42.3,62.8,27.3,59.2,85,"4.75",
"Longoria, Evan","446334","2015",".270",".435",".328","89.6","15.4",33.5,"41",8.5,7.9,23.1,39.7,65,29.4,64.1,82.3,"4.47",
"Guyer, Brandon","446386","2015",".265",".413",".359","87","13.5",31.3,"9",3.3,5.1,22.9,29.1,73.7,32.6,71.4,77.8,"4.29",
"Reynolds, Mark","448602","2015",".230",".398",".315","87.7","13.2",29.3,"22",8.4,6.5,17.1,33.1,69.1,27.2,49.6,76.7,"4.65",
"Davis, Chris","448801","2015",".262",".562",".361","92","17.5",39.7,"64",17.3,8.9,24.3,45.9,70.1,28.7,48.6,71.9,"4.49",
"Aviles, Mike","449107","2015",".231",".317",".282","86.8","10.7",26.4,"2",0.8,4.3,21.3,30.6,61.3,27.7,69.6,91,"4.49",
"Zobrist, Ben","450314","2015",".276",".450",".359","88.6","8.2",29.3,"15",3.6,4.8,23.8,34.9,55.4,21.4,77.8,91.1,"4.38",
"Fowler, Dexter","451594","2015",".250",".411",".346","87.2","12.2",32,"20",4.5,3.4,25.5,30.2,67.1,19,59.3,83,"4.34",
"Flowers, Tyler","452095","2015",".239",".356",".295","90.4","11.8",27.8,"11",4.8,5.2,25.7,39.6,70.4,27.7,47.8,76.8,"4.64",
"Headley, Chase","452104","2015",".259",".369",".324","86.8","11.9",36.7,"23",5.1,4.5,28.5,32.5,64.7,22.7,57.1,86.8,"4.67",
"Drew, Stephen","452220","2015",".201",".381",".271","86.4","16.9",27.9,"10",3.1,5.3,19.1,25.7,60.6,23.2,67.7,90.4,"4.46",
"Smith, Seth","452234","2015",".248",".443",".330","89.9","11.7",32.8,"24",7.9,7.6,23.8,42.4,59.9,23.9,54,82.2,"4.58",
"Lind, Adam","452252","2015",".277",".460",".360","89.5","10.7",31.4,"29",7.2,7.2,21,36,60.8,32.2,66.7,87.4,"4.83",
"Cabrera, Asdrubal","452678","2015",".265",".430",".315","88.3","17.3",32.1,"22",5.4,5.7,24.2,32.3,74,37.4,66.5,80.7,"4.61",
"Ellsbury, Jacoby","453056","2015",".257",".345",".318","86.5","11.5",33.2,"11",3,2.7,27,28.4,68.6,28.1,70.2,87.2,"4.4",
"Tulowitzki, Troy","453064","2015",".280",".440",".337","90","12.7",31.4,"20",5.3,7.4,29,40.4,62.8,28.6,66,82.3,"4.56",
"Fuld, Sam","453539","2015",".197",".293",".276","85.2","3.2",23.1,"3",1.3,1.7,21.4,21.8,52.7,21.4,62.5,92.7,"4.3",
"Blackmon, Charlie","453568","2015",".287",".450",".347","86.8","15",35.4,"19",3.7,6.8,26.2,29,59.6,27.6,70,89.7,"4.32",
"Blanco, Gregor","453923","2015",".291",".413",".368","87.2","10.2",31.4,"6",2.2,5.5,27.7,31.7,69.8,23.2,62,87.4,"4.21",
"Frazier, Todd","453943","2015",".255",".498",".309","89.6","18.8",32.7,"44",9,6.5,21.8,38.8,73.5,34.9,61.4,82.3,"4.57",
"Iannetta, Chris","455104","2015",".188",".335",".293","89.7","16.5",23.4,"13",6.8,6.3,17.7,35.4,67.3,18.5,37.7,76.8,"4.77",
"Young, Chris","455759","2015",".252",".453",".320","85.6","19.4",33.6,"12",4.8,3.2,22.8,26,65.6,25.4,57.6,86,"4.38",
"Markakis, Nick","455976","2015",".296",".376",".370","88.3","6.8",30.6,"4",0.8,3.2,30.9,33.6,60.4,25.6,82.9,91.1,"4.66",
"Pedroia, Dustin","456030","2015",".291",".441",".356","88.1","9",26.3,"10",3,5.1,21.6,25.4,57.3,25.3,73.2,91.6,"4.38",
"Castillo, Welington","456078","2015",".237",".453",".296","89.3","12.5",37.6,"27",10.6,6.3,23.9,36.5,59.4,26.4,52.5,83.5,"4.79",
